year,make,model,transmission,color,interior,sellingprice,saledate
2013,MINI,Cooper Countryman,automatic,silver,black,16500,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Sorento,automatic,black,beige,14000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,S-Class,automatic,black,black,54000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,red,black,13500,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Kia,Sorento,automatic,blue,black,13500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,white,black,13600,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Evoque,automatic,white,black,39000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Kia,Forte,automatic,white,beige,8500,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
2013,Kia,Optima,automatic,silver,gray,13300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Mercedes-Benz,S-Class,automatic,black,black,48000,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,silver,black,13300,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Jeep,Wrangler,automatic,black,black,25000,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
2013,Land Rover,Range Rover Evoque,automatic,gray,black,30500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Mazda,CX-9,automatic,black,black,19600,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Mazda,Mazda2,automatic,white,black,2600,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2013,Mercedes-Benz,S-Class,automatic,black,black,46500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,Nissan,Altima,automatic,black,tan,13400,Wed Dec 31 2014 12:30:00 GMT-0800 (PST)
